ID,model_ID,year,price,mileage,tax,mpg,engineSize,transmission_ID,fuel_ID,Brand
22851,25,2019,32599,3723,145,54.29999924,2,4,1,Merc
22852,24,2019,26899,807,145,55.40000153,2,4,1,Merc
22853,69,2019,63099,1766,145,48.70000076,3,4,1,Merc
22854,24,2019,27299,8768,145,54.29999924,2,4,1,Merc
22855,25,2019,25999,13701,145,47.09999847,1.5,4,5,Merc
22856,31,2019,31499,11415,145,58.90000153,2,4,1,Merc
22857,25,2019,26699,10597,145,46.29999924,1.5,4,5,Merc
22858,25,2019,26699,6718,145,46.29999924,1.5,4,5,Merc
22859,31,2019,26299,3665,145,72.40000153,2,4,1,Merc
22860,37,2017,27199,21452,145,56.5,2.099999905,4,1,Merc
22861,13,2019,23899,6917,145,28.5,1.299999952,2,5,Merc
22862,31,2016,21749,27178,160,51.40000153,3,4,1,Merc
22863,26,2018,22999,8897,145,44.09999847,1.600000024,4,5,Merc
22864,31,2017,20099,38566,145,61.40000153,2,4,1,Merc
22865,25,2019,28599,970,145,60.09999847,1.600000024,4,1,Merc
22866,31,2019,39599,2872,135,188.3000031,2,4,3,Merc
22867,31,2019,40899,3728,145,46.29999924,3,4,1,Merc
22868,75,2019,50899,13,145,36.70000076,3,4,5,Merc
22869,69,2019,47599,11876,145,52.29999924,3,4,1,Merc
22870,38,2017,39699,10689,145,39.20000076,3,4,1,Merc
22871,37,2016,28999,21355,145,56.5,2.099999905,4,1,Merc
22872,13,2019,22599,2672,145,62.79999924,1.5,4,1,Merc
22873,13,2019,20499,10488,145,28.5,1.299999952,4,5,Merc
22874,35,2016,18149,18810,30,64.19999695,2.099999905,4,1,Merc
22875,25,2020,36809,1000,145,46.29999924,1.5,4,5,Merc
22876,26,2020,30389,1000,145,55.40000153,2,4,1,Merc
22877,25,2016,25499,9458,160,43.5,2,4,5,Merc
22878,25,2017,18299,35431,30,61.40000153,2.099999905,4,1,Merc
22879,35,2017,21199,13137,145,56.5,2.099999905,4,1,Merc
22880,26,2018,19589,2628,145,67.30000305,2.099999905,4,1,Merc
22881,25,2019,30149,6362,145,64.19999695,2,4,1,Merc
22882,25,2018,29199,4699,145,54.29999924,2,4,1,Merc
22883,25,2019,19699,15020,145,46.29999924,1.5,4,5,Merc
22884,26,2019,26099,13187,145,51.40000153,2.200000048,4,1,Merc
22885,31,2019,37999,10470,145,44.79999924,2,4,1,Merc
22886,13,2019,21799,3253,145,28.5,1.299999952,2,5,Merc
22887,25,2019,25899,10662,145,47.09999847,1.5,4,5,Merc
22888,35,2019,25999,9817,145,56.5,2.099999905,4,1,Merc
22889,31,2019,34899,15284,145,48.70000076,3,4,1,Merc
